@relation caracteristicas

@attribute chromagram real
@attribute rms real
@attribute spectral_centroid real
@attribute spectral_bandwidth real
@attribute rolloff_frequency real
@attribute zero_crossing_rate real
@attribute mel_frequency_cepstral_coefficients_1 real
@attribute mel_frequency_cepstral_coefficients_2 real
@attribute mel_frequency_cepstral_coefficients_3 real
@attribute mel_frequency_cepstral_coefficients_4 real
@attribute mel_frequency_cepstral_coefficients_5 real
@attribute mel_frequency_cepstral_coefficients_6 real
@attribute mel_frequency_cepstral_coefficients_7 real
@attribute mel_frequency_cepstral_coefficients_8 real
@attribute mel_frequency_cepstral_coefficients_9 real
@attribute mel_frequency_cepstral_coefficients_10 real
@attribute mel_frequency_cepstral_coefficients_11 real
@attribute mel_frequency_cepstral_coefficients_12 real
@attribute mel_frequency_cepstral_coefficients_13 real
@attribute mel_frequency_cepstral_coefficients_14 real
@attribute mel_frequency_cepstral_coefficients_15 real
@attribute mel_frequency_cepstral_coefficients_16 real
@attribute mel_frequency_cepstral_coefficients_17 real
@attribute mel_frequency_cepstral_coefficients_18 real
@attribute mel_frequency_cepstral_coefficients_19 real
@attribute mel_frequency_cepstral_coefficients_20 real
@attribute label {cat, dog}

@data
0.559406,0.006250008,1865.3636658100215,1935.7040740592745,4235.073068893528,0.08920765918580376,-423.66846,116.74397,-26.13649,59.064793,-16.104618,30.3186,-10.400802,18.270649,6.2395005,1.5888523,9.802393,-5.5102897,9.168902,-8.487922,9.400073,-2.0406215,8.395193,2.6281457,-0.49101838,4.1759796,cat
0.5723613,0.00829794,1905.997339125271,1963.7062437819254,4341.02236921616,0.08698555119129835,-407.86826,116.55456,-28.466711,63.942913,-19.215883,33.49197,-11.386166,20.21715,7.134448,0.48720208,8.507992,-7.5522475,9.532025,-9.687695,10.250795,-1.4968796,7.477087,0.87484086,-0.26627842,5.374947,cat
0.28432357,0.11652449,1061.2715468402662,1329.78399840753,2001.6038463961693,0.046192456317204304,-289.26102,128.46371,-0.62440276,13.215101,2.0487046,11.367973,-3.9939582,1.9818208,2.3929136,-0.93914855,-1.8409353,-4.763847,-1.3989708,-4.9057317,0.032713164,0.7175339,4.6387277,4.567149,5.225847,5.2606797,cat
0.49241838,0.010276498,1190.1132085513893,1476.7926459587284,2576.2939453125,0.05293251811594203,-397.18878,154.72661,-23.62618,47.466015,-1.1024625,14.4072275,-16.169918,3.9100597,-16.688036,-13.174815,3.4377112,-14.128767,-5.32958,-11.1503105,-3.4907293,-12.789036,-4.3533926,-6.6971736,-5.9365892,-7.113724,cat
0.26774907,0.14228918,1521.4949088510268,985.9679519001453,2551.189554148707,0.10054665050287356,-219.54436,143.69582,-104.36555,-4.6053658,-11.409472,-28.512684,-2.9522808,7.722247,-0.6710884,18.117458,19.645542,11.762965,0.9132905,14.78889,13.772523,-9.677548,8.725009,4.321973,11.478814,5.478009,cat
0.46486068,0.051534005,1362.0812009699775,1461.387004706234,2611.7730337814246,0.07069712377793295,-298.52377,113.28149,-5.2102275,3.4646327,-7.556598,10.054186,6.1559834,13.197221,0.17177036,-2.9804544,3.809843,7.717262,7.67418,2.794184,6.452282,-5.0614834,-2.0301442,-1.1318669,2.2752063,0.94827884,cat
0.30616322,0.061949134,1795.2278636254978,865.6864688301214,2352.1311792834053,0.15064739358836207,-336.03903,92.10866,-106.33042,-25.401564,15.112374,20.346111,-4.7712,-0.069234386,-4.3228545,-0.5574197,15.274075,-6.3705025,-11.905934,-8.268477,-6.46431,1.0115571,0.4275499,-4.7547517,-0.20808372,1.0715696,cat
0.41627052,0.117830925,1567.5763893241071,1690.2328502507035,3332.619431439568,0.06674732881433823,-193.59314,140.69073,-32.18614,49.04332,-16.286953,32.42144,-12.379912,17.34165,-9.818609,25.041857,12.933635,-28.01598,-3.8137875,-10.488679,8.04223,-9.148467,-1.157694,-3.2885926,7.7306304,-1.0137042,cat
0.34491944,0.1280673,2373.655050983433,1573.5896142695476,3995.3254862034573,0.17512674534574468,-269.2133,66.71042,-47.560715,78.17063,-9.378688,24.460402,-11.053653,23.520782,-3.6997046,-6.3627734,15.327654,6.09261,34.418888,8.029072,-4.828404,-13.770035,6.087304,13.335887,4.0118747,-11.570744,cat
0.46904343,0.084787324,1431.5714976472875,963.2413858973584,2485.641043526786,0.08132943467565598,-285.2917,152.1533,-92.198265,3.5697644,33.364147,-40.79458,-2.4619887,19.417225,-21.56203,-1.2983316,5.8505588,-18.067226,-1.1405009,4.2883706,-4.9319067,8.855739,7.4581056,-1.6686435,9.459749,4.2998724,cat
0.3441037,0.02558714,2954.6348520991796,1739.1886422529715,5003.4988100165565,0.19694764935154527,-345.11072,30.245558,-101.53021,54.147713,-42.05601,30.35486,-32.641014,7.989285,-11.75403,-3.880047,-9.121774,-4.997468,24.215979,4.5671363,28.136261,5.765713,11.764223,0.107220314,6.2483487,-4.0637217,cat
0.4341005,0.014377877,2650.4129472596696,1843.584091300813,4872.402512808681,0.17002927698574338,-387.54446,57.726757,-66.78512,45.966698,-33.554527,26.673693,-17.360302,5.919201,-11.328009,-3.7040195,-4.17926,-8.086485,12.3005495,-0.15685041,12.989904,0.022069616,11.361429,-0.117099494,5.576786,1.2631891,cat
0.44222727,0.011729572,1229.3667652561007,1517.4544096726331,2613.9218873615505,0.058893517602848104,-393.36194,133.17427,0.086937495,32.063095,5.40854,5.8542213,-10.293317,-4.346131,-11.665451,-13.712333,-1.0053643,-12.699674,-5.465802,-4.335541,-6.386652,-5.638321,-5.0218544,-5.760702,-3.3530896,-5.1523676,cat
0.70775515,0.12946782,539.8638397206973,1153.1057072871668,946.2126358695652,0.011216315670289856,-338.8186,140.48723,41.145554,31.56956,24.102549,34.936043,16.491636,11.211205,1.8690604,1.2011086,5.7963147,5.110279,2.6595612,5.5643854,14.762167,2.8492057,7.907627,5.991466,1.920448,3.4008589,cat
